,LeadTime,ArrivalDateWeekNumber,ArrivalDateDayOfMonth,StaysInWeekendNights,StaysInWeekNights,Adults,PreviousCancellations,PreviousBookingsNotCanceled,BookingChanges,DaysInWaitingList,ADR,TotalOfSpecialRequests,IsCanceled,ArrivalDateYear,ArrivalDateMonth,Children,Babies,Meal,MarketSegment,DistributionChannel,IsRepeatedGuest,ReservedRoomType,AssignedRoomType,DepositType,CustomerType,RequiredCarParkingSpaces,ReservationStatus
LeadTime,1,0.128,-0.012,0.421,0.526,0.235,0.114,-0.215,0.076,0.075,0.157,0.023,0.235,0.104,0.17,0.02,0,0.117,0.198,0.138,0.141,0.046,0.051,0.178,0.147,0.076,0.172
ArrivalDateWeekNumber,0.128,1,0.072,0.065,0.071,0.068,0.066,-0.073,0.014,0.049,0.139,0.041,0.108,0.421,0.799,0.084,0.033,0.099,0.154,0.129,0.125,0.065,0.051,0.13,0.146,0.011,0.083
ArrivalDateDayOfMonth,-0.012,0.072,1,-0.028,-0.031,0.009,-0.03,0.005,-0.002,0.03,0.039,0.012,0.034,0.037,0.062,0.013,0.005,0.05,0.044,0.053,0.015,0.014,0.013,0.096,0.046,0.01,0.026
StaysInWeekendNights,0.421,0.065,-0.028,1,0.574,0.183,-0.015,-0.147,0.047,-0.001,0.166,0.068,0.096,0.04,0.095,0.032,0.02,0.094,0.143,0.126,0.125,0.063,0.03,0.035,0.165,0.05,0.07
StaysInWeekNights,0.526,0.071,-0.031,0.574,1,0.199,-0.01,-0.159,0.086,0.047,0.207,0.069,0.035,0.03,0.063,0,0,0.072,0.085,0.044,0.042,0.038,0.026,0.031,0.131,0.04,0.025
Adults,0.235,0.068,0.009,0.183,0.199,1,-0.03,-0.272,-0.027,-0.008,0.395,0.155,0.028,0.023,0.019,0,0,0,0.012,0.011,0,0,0,0,0.127,0,0.019
PreviousCancellations,0.114,0.066,-0.03,-0.015,-0.01,-0.03,1,0.113,-0.047,-0.012,-0.077,-0.064,0.095,0.079,0.068,0,0,0.089,0.055,0.044,0.066,0.02,0.031,0.157,0.007,0.007,0.068
PreviousBookingsNotCanceled,-0.215,-0.073,0.005,-0.147,-0.159,-0.272,0.113,1,0.007,-0.009,-0.149,-0.005,0.058,0.039,0.022,0.003,0,0.024,0.119,0.133,0.309,0.017,0.008,0.008,0.037,0.017,0.04
BookingChanges,0.076,0.014,-0.002,0.047,0.086,-0.027,-0.047,0.007,1,0.021,0.024,0.013,0.073,0.03,0.017,0.031,0.048,0.083,0.045,0.057,0,0.013,0.048,0.039,0.068,0.026,0.053
DaysInWaitingList,0.075,0.049,0.03,-0.001,0.047,-0.008,-0.012,-0.009,0.021,1,-0.006,-0.058,0.035,0.059,0.062,0,0,0.103,0.072,0.048,0,0.015,0.017,0.164,0.083,0.04,0.022
ADR,0.157,0.139,0.039,0.166,0.207,0.395,-0.077,-0.149,0.024,-0.006,1,0.194,0.114,0.145,0.287,0.188,0.042,0.136,0.216,0.165,0.164,0.168,0.135,0.102,0.13,0.052,0.085
TotalOfSpecialRequests,0.023,0.041,0.012,0.068,0.069,0.155,-0.064,-0.005,0.013,-0.058,0.194,1,0.115,0.076,0.083,0.042,0.116,0.073,0.209,0.142,0.067,0.071,0.055,0.136,0.105,0.04,0.081
IsCanceled,0.235,0.108,0.034,0.096,0.035,0.028,0.095,0.058,0.073,0.035,0.114,0.115,1,0.047,0.115,0.087,0.023,0.11,0.253,0.136,0.103,0.081,0.183,0.323,0.141,0.247,1
ArrivalDateYear,0.104,0.421,0.037,0.04,0.03,0.023,0.079,0.039,0.03,0.059,0.145,0.076,0.047,1,0.428,0.047,0.01,0.07,0.096,0.037,0.075,0.069,0.038,0.063,0.053,0.015,0.034
ArrivalDateMonth,0.17,0.799,0.062,0.095,0.063,0.019,0.068,0.022,0.017,0.062,0.287,0.083,0.115,0.428,1,0.09,0.036,0.115,0.165,0.133,0.122,0.067,0.048,0.139,0.153,0.017,0.087
Children,0.02,0.084,0.013,0.032,0,0,0,0.003,0.031,0,0.188,0.042,0.087,0.047,0.09,1,0.048,0.031,0.101,0.055,0.046,0.42,0.357,0.045,0.066,0.029,0.074
Babies,0,0.033,0.005,0.02,0,0,0,0,0.048,0,0.042,0.116,0.023,0.01,0.036,0.048,1,0.02,0.044,0.029,0.02,0.059,0.065,0.017,0.018,0.025,0.015
Meal,0.117,0.099,0.05,0.094,0.072,0,0.089,0.024,0.083,0.103,0.136,0.073,0.11,0.07,0.115,0.031,0.02,1,0.207,0.076,0.074,0.1,0.234,0.184,0.145,0.038,0.081
MarketSegment,0.198,0.154,0.044,0.143,0.085,0.012,0.055,0.119,0.045,0.072,0.216,0.209,0.253,0.096,0.165,0.101,0.044,0.207,1,0.686,0.273,0.179,0.15,0.326,0.406,0.099,0.183
DistributionChannel,0.138,0.129,0.053,0.126,0.044,0.011,0.044,0.133,0.057,0.048,0.165,0.142,0.136,0.037,0.133,0.055,0.029,0.076,0.686,1,0.21,0.152,0.106,0.063,0.116,0.076,0.099
IsRepeatedGuest,0.141,0.125,0.015,0.125,0.042,0,0.066,0.309,0,0,0.164,0.067,0.103,0.075,0.122,0.046,0.02,0.074,0.273,0.21,1,0.075,0.073,0.044,0.155,0.06,0.104
ReservedRoomType,0.046,0.065,0.014,0.063,0.038,0,0.02,0.017,0.013,0.015,0.168,0.071,0.081,0.069,0.067,0.42,0.059,0.1,0.179,0.152,0.075,1,0.738,0.091,0.122,0.059,0.058
AssignedRoomType,0.051,0.051,0.013,0.03,0.026,0,0.031,0.008,0.048,0.017,0.135,0.055,0.183,0.038,0.048,0.357,0.065,0.234,0.15,0.106,0.073,0.738,1,0.127,0.101,0.073,0.131
DepositType,0.178,0.13,0.096,0.035,0.031,0,0.157,0.008,0.039,0.164,0.102,0.136,0.323,0.063,0.139,0.045,0.017,0.184,0.326,0.063,0.044,0.091,0.127,1,0.101,0.063,0.23
CustomerType,0.147,0.146,0.046,0.165,0.131,0.127,0.007,0.037,0.068,0.083,0.13,0.105,0.141,0.053,0.153,0.066,0.018,0.145,0.406,0.116,0.155,0.122,0.101,0.101,1,0.063,0.1
RequiredCarParkingSpaces,0.076,0.011,0.01,0.05,0.04,0,0.007,0.017,0.026,0.04,0.052,0.04,0.247,0.015,0.017,0.029,0.025,0.038,0.099,0.076,0.06,0.059,0.073,0.063,0.063,1,0.174
ReservationStatus,0.172,0.083,0.026,0.07,0.025,0.019,0.068,0.04,0.053,0.022,0.085,0.081,1,0.034,0.087,0.074,0.015,0.081,0.183,0.099,0.104,0.058,0.131,0.23,0.1,0.174,1